,p_id,name,price,colour,brand_name,ratingCount,avg_rating,brand_id
12009,15546844.0,The Vanca Women Black Solid Boiler Jumpsuit,2699.0,Black,the vanca,20.0,4.15,891
12010,10791506.0,The Vanca Women Black & Navy Blue Solid Longline Pullover Sweatshirt,1499.0,Black,the vanca,4.0,3.5,891
12011,11478664.0,The Vanca Women Olive Green Solid Basic Jumpsuit,1899.0,Olive,the vanca,54.0,4.018518519,891
12012,16036638.0,The Vanca Women Mustard Fleece Hooded Sweatshirt,2099.0,Mustard,the vanca,184.47941042394774,4.101225865898192,891
12013,16592626.0,The Vanca Women Green Fleece Longline Bomber Jacket,2199.0,Green,the vanca,7.0,3.285714286,891
12014,10786324.0,The Vanca Women Navy Blue Solid Tailored Jacket,2799.0,Navy Blue,the vanca,31.0,3.741935484,891
12015,16225448.0,The Vanca Women Olive Green Hooded Sweatshirt,2099.0,Olive,the vanca,5.0,5.0,891
12016,14147982.0,Fabnest Curve Plus Size Women Black Solid Top with Trousers,3400.0,Black,fabnest curve,184.47941042394774,4.101225865898192,281
12017,19260426.0,Fabnest Curve Women Plus Size Red Ethnic Motifs Printed Relaxed Trousers,1750.0,Red,fabnest curve,184.47941042394774,4.101225865898192,281
12018,19264100.0,Fabnest Curve Women Purple Printed Tunic with Palazzos,3650.0,Purple,fabnest curve,184.47941042394774,4.101225865898192,281
12019,19192856.0,Fabnest Curve Women Green & Red Ethnic Motifs Printed Anarkali Kurta,3000.0,Green,fabnest curve,184.47941042394774,4.101225865898192,281
12020,17293794.0,Hopscotch Girls White & Blue Embellished A-Line Knee-Length Skirts,999.0,White,hopscotch,2.0,5.0,371
12021,18118494.0,Hopscotch Girls Rose Ready to Wear Lehenga & Choli,3599.0,Rose,hopscotch,184.47941042394774,4.101225865898192,371
12022,16113106.0,UrGear Women White & Olive Striped Longline Open Front Shrug,2399.0,White,urgear,184.47941042394774,4.101225865898192,932
12023,16695166.0,Sugathari Black & Red Embroidered Kalamkari Dupatta with Mirror Work,2899.0,Black,sugathari,5.0,3.8,852
12024,6849866.0,Sugathari Red & Gold-Toned Woven Design Banarasi Dupatta,2399.0,Red,sugathari,58.0,4.293103448,852
12025,11018438.0,Sugathari Green & Yellow Printed Dupatta,1598.0,Green,sugathari,29.0,4.275862069,852
12026,16695144.0,Sugathari Yellow & Red Ethnic Motifs Embroidered Dupatta with Mirror Work,2899.0,Yellow,sugathari,184.47941042394774,4.101225865898192,852
12027,16695174.0,Sugathari White & Gold-Toned Ethnic Motifs Embroidered Dupatta with Sequinned,2449.0,White,sugathari,184.47941042394774,4.101225865898192,852
12028,16695196.0,Sugathari White Ethnic Motifs Embroidered Dupatta with Thread Work,2449.0,White,sugathari,184.47941042394774,4.101225865898192,852
12029,19030390.0,Sugathari Pink Embellished Sequinned Saree,4299.0,Pink,sugathari,184.47941042394774,4.101225865898192,852
12030,15099562.0,Sugathari Teal Woven Design Silk Blend Fusion Kanjeevaram Saree,2499.0,Teal,sugathari,22.0,4.272727273,852
12031,16695160.0,Sugathari White & Pink Embroidered Dupatta with Mirror Work,2899.0,White,sugathari,184.47941042394774,4.101225865898192,852
12032,16695146.0,Sugathari Black & Red Ethnic Motifs Embroidered Dupatta with Mirror Work,2899.0,Black,sugathari,184.47941042394774,4.101225865898192,852
12033,18308702.0,VEDANA Black Embroidered Boat Neck Sequinned Kurti,1399.0,Black,vedana,184.47941042394774,4.101225865898192,953
12034,16563408.0,VEDANA Women Off White Comfort Pleated Cotton Trousers,1299.0,Off White,vedana,28.0,3.892857143,953
12035,16566512.0,VEDANA Women Navy Blue Flared Palazzos,1099.0,Navy Blue,vedana,184.47941042394774,4.101225865898192,953
12036,17336142.0,UNDER ARMOUR Women Pink Loose Fit Training Play Up Shorts 3.0,1999.0,Pink,under armour,184.47941042394774,4.101225865898192,926
12037,18643290.0,KEIKO Women Maroon Shrug,1999.0,Maroon,keiko,184.47941042394774,4.101225865898192,461
12038,15570680.0,VARUSHKA Green & Black Printed Jumpsuit,1599.0,Green,varushka,184.47941042394774,4.101225865898192,947
12039,18297812.0,VARUSHKA Women Black Loose Fit Shorts,1299.0,Black,varushka,184.47941042394774,4.101225865898192,947
12040,19283514.0,Outflits Women White Skinny Fit Cycling Sports Shorts Pack of 2,798.0,White,outflits,184.47941042394774,4.101225865898192,658
12041,19283502.0,Outflits Women Navy Blue Skinny Fit Cycling Sports Shorts pack of 2,798.0,Navy Blue,outflits,184.47941042394774,4.101225865898192,658
12042,19283508.0,Outflits Women Red Skinny Fit Cycling Sports Shorts,798.0,Red,outflits,184.47941042394774,4.101225865898192,658
12043,10343989.0,MIMOSA Red & Green Art Silk Woven Design Kanjeevaram Saree,5699.0,Red,mimosa,127.0,4.236220472,569
12044,10811418.0,MIMOSA Green & Pink Embroidered Semi-Stitched Bridal Lehenga & Blouse with Dupatta,6999.0,Green,mimosa,184.47941042394774,4.101225865898192,569
12045,10811434.0,MIMOSA Orange & Green Embroidered Semi-Stitched Lehenga & Blouse with Dupatta,6999.0,Orange,mimosa,184.47941042394774,4.101225865898192,569
12046,10811404.0,MIMOSA Yellow & Pink Embroidered Semi-Stitched Bridal Lehenga & Blouse with Dupatta,6999.0,Yellow,mimosa,13.0,3.846153846,569
12047,16272572.0,MIMOSA Green Ethnic Motifs Woven Design Art Silk Dupatta with Zari,1799.0,Green,mimosa,184.47941042394774,4.101225865898192,569
12048,11775072.0,MIMOSA Pink & Gold-Toned Banarasi Woven Design Dupatta,1799.0,Pink,mimosa,35.0,4.371428571,569
12049,13008784.0,MIMOSA Maroon & Gold-Toned Woven Design Dupatta,1799.0,Maroon,mimosa,6.0,3.666666667,569
12050,13008900.0,MIMOSA Yellow & Gold-Toned Woven Design Dupatta,1799.0,Yellow,mimosa,5.0,4.0,569
12051,14524076.0,MIMOSA Yellow & Gold-Toned Woven Design Zari Art Silk Kanjeevaram Saree,5399.0,Yellow,mimosa,38.0,4.421052632,569
12052,11775116.0,MIMOSA Coral & Gold-Toned Woven Design Dupatta,1599.0,Coral,mimosa,7.0,4.285714286,569
12053,13112488.0,MIMOSA Yellow Semi-Stitched Lehenga & Unstitched Blouse with Dupatta,7659.0,Yellow,mimosa,184.47941042394774,4.101225865898192,569
12054,11717870.0,MIMOSA Red & Gold-Toned Embroidered Semi-Stitched Lehenga & Blouse with Dupatta,7199.0,Red,mimosa,184.47941042394774,4.101225865898192,569
12055,10810212.0,MIMOSA Orange & Gold-Toned Woven Design Dupatta,1499.0,Orange,mimosa,184.47941042394774,4.101225865898192,569
12056,11717984.0,MIMOSA Yellow & Pink Embroidered Semi-Stitched Lehenga & Blouse with Dupatta,7199.0,Yellow,mimosa,184.47941042394774,4.101225865898192,569
