,p_id,name,price,colour,brand,brand_id
6296,15359004.0,Molcha Women Pack of 2 Beige & Maroon Regular Cotton Shorts,3000.0,Beige,Molcha,592
6297,15359002.0,Molcha Set of 2 Women Beige& Yellow Regular Shorts,3000.0,Beige,Molcha,592
6298,15359000.0,Molcha Women Pack of 2 Regular Shorts,3000.0,Beige,Molcha,592
6299,15358996.0,Molcha Set of 2 Women Off White& Peach Regular Shorts,3000.0,Off White,Molcha,592
6300,15358992.0,Molcha Women Pack of 2 Navy Blue & Pink Regular Cotton Shorts,3000.0,Navy Blue,Molcha,592
6301,15358990.0,Molcha Set of 2 Women Maroon& Peach Regular Shorts,3000.0,Maroon,Molcha,592
6302,15358988.0,Molcha Women Pack of 2 Regular Shorts,3000.0,Maroon,Molcha,592
6303,15358986.0,Molcha Women Pack of 2 Maroon & Navy Blue Regular Cotton Shorts,3000.0,Maroon,Molcha,592
6304,16774862.0,Kraus Jeans Women Blue Crop Denim Jacket,3295.0,Blue,Kraus Jeans,484
6305,19171244.0,Kraus Jeans Women Black Super Skinny Fit High-Rise Stretchable Jeans,2095.0,Black,Kraus Jeans,484
6306,19171276.0,Kraus Jeans Women Blue Straight Fit High-Rise Jeans,1795.0,Blue,Kraus Jeans,484
6307,18337320.0,Kraus Jeans Women Blue Washed Crop Denim Jacket,2095.0,Blue,Kraus Jeans,484
6308,18337310.0,Kraus Jeans Women Blue Loose Fit High-Rise Denim Shorts,1295.0,Blue,Kraus Jeans,484
6309,18639540.0,Kraus Jeans Women Blue Wide Leg High-Rise Jeans,2095.0,Blue,Kraus Jeans,484
6310,15341052.0,Kraus Jeans Women Teal Loose Fit High-Rise Parallel Trousers,1595.0,Teal,Kraus Jeans,484
6311,18639516.0,Kraus Jeans Women Olive Green Loose Fit High-Rise Trousers,1595.0,Olive,Kraus Jeans,484
6312,19171252.0,Kraus Jeans Women Blue Straight Fit High-Rise Light Fade Jeans,1895.0,Blue,Kraus Jeans,484
6313,16774798.0,Kraus Jeans Women Beige Parka Jacket,3990.0,Beige,Kraus Jeans,484
6314,19171232.0,Kraus Jeans Women Blue Flared Light Fade Stretchable Jeans,2095.0,Blue,Kraus Jeans,484
6315,17577552.0,Kraus Jeans Women Olive Green Skinny Fit High-Rise Stretchable Jeans,1895.0,Olive,Kraus Jeans,484
6316,17522320.0,Kraus Jeans Women Olive Green Solid Crop Tailored Jacket,2095.0,Olive,Kraus Jeans,484
